formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,types,user_ratings_total
"1155 N Capitol Ave, San Jose, CA 95132, United States","{'location': {'lat': 37.387198, 'lng': -121.861847}, 'viewport': {'northeast': {'lat': 37.38840387989272, 'lng': -121.8604191201072}, 'southwest': {'lat': 37.38570422010728, 'lng': -121.8631187798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,703afc6faf1851e41a42ae8ee572208debeff06d,Starbucks,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113905663818584450678/photos"">Anthony Lee</a>'], 'photo_reference': 'CmRaAAAADQ3B7oGDFZ5N7D9lrxhoSAWc5hf7TefmW6Z_sFdmYkPX5RHZpWWcUPT6dOZgmJqFHhOng_l5HCPXGtj0p2HYaXCkySIme5mjm7JC7JhpYWuDdAMN29Hp5C36CYvlw4GvEhApYq2EUrJNHeRj-I10cR-sGhQPKC9xAaIAMad3g01GqgTM3r2Sqg', 'width': 2448}]",ChIJrSxHdTbMj4ARff5XV5B3Ufw,"{'compound_code': '94PQ+V7 San Jose, California, United States', 'global_code': '849W94PQ+V7'}",2,4.4,ChIJrSxHdTbMj4ARff5XV5B3Ufw,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",322
"3055 Olin Ave #1025, San Jose, CA 95128, United States","{'location': {'lat': 37.320964, 'lng': -121.949113}, 'viewport': {'northeast': {'lat': 37.32228462989272, 'lng': -121.9475971701073}, 'southwest': {'lat': 37.31958497010728, 'lng': -121.9502968298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,59a07b626c434ef5ce4932d1a8ac437fc23093cc,Starbucks,{'open_now': False},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116762375669080478719/photos"">عبدالله بركات</a>'], 'photo_reference': 'CmRaAAAA3F-nAq9fHs9Hg5ct2M8375JPhwCNi2cPQW4QM84GJH83qZYDHHq2Szbbz8mKGimzY25ca-giFvsILCnvJ6UyjpE9Frb-LXkx_QKXbdtTl0kdshm-Fk7fu_XFFoKvICEhEhDb7vWHBVf4P5mAq1vd0q6wGhSBM2eBniIkm7ei49X8Iv7qzUTrvw', 'width': 2322}]",ChIJa49n29_Kj4ARubVJk9TZQRg,"{'compound_code': '83C2+99 San Jose, California, United States', 'global_code': '849W83C2+99'}",2,3.7,ChIJa49n29_Kj4ARubVJk9TZQRg,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",230
"1432 W San Carlos St #70, San Jose, CA 95126, United States","{'location': {'lat': 37.3233208, 'lng': -121.9140698}, 'viewport': {'northeast': {'lat': 37.32472957989272, 'lng': -121.9127207701073}, 'southwest': {'lat': 37.32202992010728, 'lng': -121.9154204298928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,141fc0624b01fa586e204aaeb4fdf32cf18536f7,Starbucks,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116005134929735806570/photos"">siddharth joseph</a>'], 'photo_reference': 'CmRaAAAAKvFY-WA0imwiYvRnii86PhHQ9kC0_jqIizyvOUsQjvLQk6nvvEzqN9YbvPeq6JNRAnrVGGGYsd0ZWmnGMGU9HrZNztWQlg8c80ft8pf3TiC0hop07_z7EA2IA38l8Z7LEhD04EHDYCkV1rupRFudHwrMGhQDaiRVPfdmeloFM51i8ejCTJ7q7Q', 'width': 2340}]",ChIJZSMTOEXLj4ARRC9D6WSfeno,"{'compound_code': '83FP+89 San Jose, California, United States', 'global_code': '849W83FP+89'}",2,4.2,ChIJZSMTOEXLj4ARRC9D6WSfeno,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",192
"1704 Oakland Rd Ste. 400, San Jose, CA 95131, United States","{'location': {'lat': 37.383275, 'lng': -121.894485}, 'viewport': {'northeast': {'lat': 37.38467067989272, 'lng': -121.8931026701073}, 'southwest': {'lat': 37.38197102010728, 'lng': -121.8958023298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,295f9fdfdd4e129f04e9fe1b541fcbe54cc80841,Starbucks,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115316522456504791617/photos"">游鎵瑋</a>'], 'photo_reference': 'CmRaAAAA62zdv7KHmpZ2RG_ASmUYEZo2_NRtPnaTTNy6gbh9rD8pPaNhIXByQcFsFL9-HUQMZmhsqm6ph_faXJIy2eHCphWRJbyiL5Zv1NSaSIg19C6KTpfdPGlfoXJuKOUsDMZmEhDKqpVFPpPc_Krs3DVNGmlTGhS0Rc3ms7XRI2spIEt0A_WE2qVJMA', 'width': 2448}]",ChIJd5H82Q7Mj4AR8uNOfiZp6U4,"{'compound_code': '94M4+86 San Jose, California, United States', 'global_code': '849W94M4+86'}",2,4.2,ChIJd5H82Q7Mj4AR8uNOfiZp6U4,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",468
"1712 Berryessa Avenue, San Jose, CA 95133, United States","{'location': {'lat': 37.37322100000001, 'lng': -121.87303}, 'viewport': {'northeast': {'lat': 37.37460507989272, 'lng': -121.8715588701073}, 'southwest': {'lat': 37.37190542010728, 'lng': -121.8742585298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,edd83a80511724a86343db1e50d2c56dc4454ab4,Starbucks,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115367256750353921455/photos"">Juan Guzman</a>'], 'photo_reference': 'CmRaAAAAaF8-ChwRFFyZFjUgTZ3SzD0QtuYA_RkPqBQxwMM4AdOf0a9d4EZJVsZw9uOSAeir1A9FmfKQQVaWg8dOf8a9nQXJ8zo8TVoBBLkqASm_IS5bV9XbyfA8R94InNeA9ODLEhCu97j0rulR1l3ZJZ-5CCjgGhSQQ4AcZve-f8ZAYq1V7AHvRvGuBA', 'width': 3024}]",ChIJP-tlU1vMj4ARrgLdQ2B76Sg,"{'compound_code': '94FG+7Q San Jose, California, United States', 'global_code': '849W94FG+7Q'}",2,4.1,ChIJP-tlU1vMj4ARrgLdQ2B76Sg,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",233
"San Jose, CA 95110, United States","{'location': {'lat': 37.3716214, 'lng': -121.9229905}, 'viewport': {'northeast': {'lat': 37.37288492989272, 'lng': -121.9216631201073}, 'southwest': {'lat': 37.37018527010727, 'lng': -121.9243627798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,84d66fd48e19fe742eb1620e17f9869defe8ba69,Starbucks,{'open_now': False},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108656493250348091345/photos"">Amen AMOUZOU</a>'], 'photo_reference': 'CmRaAAAAn7_SPSIrErOJmEG4PdBPeGjankF3jZ6bRbPrCDuJiNZxXhhiJWv2l3M9-Ha3Dc13NzZ7cgGfLp9FHYo4Ft553t-Kr6hZXbmEQUVhbF990G2sQD-vFESXLEEK6pzdFznhEhBflAINIQ67YTFCc1yPWYCeGhS_gMWk2Mv_9BXupy4E7hEh-ZJj9w', 'width': 3456}]",ChIJY7pdPurLj4ARwpoe6I-jHF0,"{'compound_code': '93CG+JR San Jose, California, United States', 'global_code': '849W93CG+JR'}",2,3.3,ChIJY7pdPurLj4ARwpoe6I-jHF0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",16
"179 Branham Ln, San Jose, CA 95136, United States","{'location': {'lat': 37.267176, 'lng': -121.833203}, 'viewport': {'northeast': {'lat': 37.26835417989272, 'lng': -121.8318510201073}, 'southwest': {'lat': 37.26565452010727, 'lng': -121.8345506798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,d7b8807263cc1385bcd545f3cf9412183dd532da,Starbucks,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112870174933012801467/photos"">Trey Fortes</a>'], 'photo_reference': 'CmRaAAAAXterlyR5GxBkrPcrK5oYSs3pBWJs478AMW87K8i453XF46LPVIyIswe95acKs1EKXif6bX_nEyOGux4VYbHAjBZjTzwLatJc-7bPQR_xWL8m6JhakggLHca5WqXJQ-6LEhAT4r7IMYAEvm_R9SA_vdwLGhQmAQgu4u1m1pWXIgGyYed2AuuULA', 'width': 1080}]",ChIJvUQWhBgyjoARtBdyX4Vy0Fk,"{'compound_code': '7588+VP San Jose, California, United States', 'global_code': '849W7588+VP'}",2,2.6,ChIJvUQWhBgyjoARtBdyX4Vy0Fk,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",14
"1815 Hillsdale Ave #20, San Jose, CA 95124, United States","{'location': {'lat': 37.2632213, 'lng': -121.9187767}, 'viewport': {'northeast': {'lat': 37.26462362989272, 'lng': -121.9173049701073}, 'southwest': {'lat': 37.26192397010728, 'lng': -121.9200046298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,3e0beab00795e9fd4782c673cbc5a65dc561ff45,Starbucks,{'open_now': True},"[{'height': 4048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113775349993678064454/photos"">Nick Switzer</a>'], 'photo_reference': 'CmRaAAAAv-q9MFoW_SBOu9vqWPQmQ2PTFw05O4Z8cAaogvntYKoMQhbOGh5ubKsQm6yXozceg6IZkqSC3G0U3jFttfjDJOhSHhFvLJpV7zWPI4DUshDK-msHpIopSam5u5bUHQPJEhAOEsr4RQa8y59gWRjLKryyGhRNf0jnCkrFvsRL8sid_9p8sCqMwQ', 'width': 3036}]",ChIJiTrp_2U0joARVmm39Qh-5KU,"{'compound_code': '737J+7F San Jose, California, United States', 'global_code': '849W737J+7F'}",2,4.3,ChIJiTrp_2U0joARVmm39Qh-5KU,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",231
"1751 N 1st St, San Jose, CA 95112, United States","{'location': {'lat': 37.37096289999999, 'lng': -121.9171986}, 'viewport': {'northeast': {'lat': 37.37232192989272, 'lng': -121.9158407201073}, 'southwest': {'lat': 37.36962227010727, 'lng': -121.9185403798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,8ca3951b27832cb37f4b49202772ef050d81cd1a,Starbucks,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111095263212279416216/photos"">Sandhip Chandrasekar</a>'], 'photo_reference': 'CmRaAAAAyJ3w_EqaEEBrY0UfmAJlNHqMCTjHvbUOYJlqVd1uOewIkc2iuIwksyuiOb3pbCheiB1xkzpu10y_WomR6FtPFmxoLwUThy8_fza20mXGgiFDuluxPwqBT4zAhVvPHa16EhCai2XEh-2LmsbiXf7AWJNiGhSfgBgnv49_VQ6IB-bc9FPLOg4D-w', 'width': 3024}]",ChIJo5y56-zLj4ARQx1UUSCnyes,"{'compound_code': '93CM+94 San Jose, California, United States', 'global_code': '849W93CM+94'}",2,4.2,ChIJo5y56-zLj4ARQx1UUSCnyes,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",366
"2200 Eastridge Loop, 9104, San Jose, CA 95122, United States","{'location': {'lat': 37.3252694, 'lng': -121.8138697}, 'viewport': {'northeast': {'lat': 37.32628442989273, 'lng': -121.8121847701073}, 'southwest': {'lat': 37.32358477010728, 'lng': -121.8148844298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,3114ebcfb08fa1bf74aadc2e319cb29ca4d0d4f9,Starbucks,{'open_now': False},"[{'height': 2660, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117320600805157104067/photos"">Keya Pandia</a>'], 'photo_reference': 'CmRaAAAAjiOflvo56aTJ7MUlpmzDuME7hfCpxfa5leKW1nIE2HBJOVZoX1m4OWuQZuUpcCoeetBY7LQaJPjshpr2UyB7u84V1PpmE2mq_FzXNgZD-qga0QgsiRUkgmI4DLFHGkmdEhCyiqbnuWs8NB_HQi8kU1aFGhQVfIIiidTpPxHuXZjUiC2Xulo__g', 'width': 4730}]",ChIJAQAAEKEyjoAR2ZDtVJGp0I0,"{'compound_code': '85GP+4F San Jose, California, United States', 'global_code': '849W85GP+4F'}",2,4.0,ChIJAQAAEKEyjoAR2ZDtVJGp0I0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",85
